acl 2.3.1-1
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alacritty 0.9.0-3
alsa-lib 1.2.6.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.2-2
alsa-utils 1.2.6-1
anki 2.1.49-1
aom 3.2.0-1
appstream-glib 0.7.18-2
archlinux-keyring 20211028-1
argon2 20190702-3
asciidoc 9.1.1-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
attica 5.89.0-1
attr 2.5.1-1
audit 3.0.6-5
auto-cpufreq-git 1.8.1.r273.5e3c7c8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 2-2
bash 5.1.012-1
bazel 4.2.2-1
bc 1.07.1-4
betterlockscreen 4.0.3-2
binutils 2.36.1-3
bison 3.8.2-1
bluez 5.62-1
bluez-libs 5.62-1
bluez-utils 5.62-1
boost-libs 1.76.0-6
brave-beta-bin 1.34.60-1
brave-bin 1:1.33.106-1
brave-nightly-bin 1.35.30-1
brightnessctl 0.5.1-2
brotli 1.0.9-7
btrfs-progs 5.15.1-3
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.73-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
candy-icons-git r737.26101bf-1
cantarell-fonts 1:0.303.1-1
cbatticon 1.6.10-2
cbonsai 1.3.1-3
cdparanoia 10.2-8
celt 0.11.3-4
chrpath 0.16-3
clang 13.0.0-4
cmake 3.22.1-1
compiler-rt 13.0.0-1
coreutils 9.0-2
cronie 1.5.7-2
cryptsetup 2.4.2-1
curl 7.80.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
diffutils 3.8-1
discord 0.0.16-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-1
double-conversion 3.1.6-1
dunst 1.7.3-1
e2fsprogs 1.46.4-1
efibootmgr 17-2
efivar 37-4
elfutils 0.186-1
expat 2.4.1-1
expressvpn 3.14.0.4-1
faad2 2.10.0-1
fakeroot 1.26-1
feh 3.7.2-1
ffmpeg 2:4.4.1-1
fftw 3.3.10-1
file 5.41-1
filesystem 2021.12.07-1
findutils 4.8.0-1
firefox 95.0-1
flac 1.3.3-3
flex 2.6.4-3
fontconfig 2:2.13.94-1
freetype2 2.11.1-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
gawk 5.1.1-1
gc 8.2.0-2
gcab 1.4-1
gcc 11.1.0-3
gcc-libs 11.1.0-3
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gettext 0.21-1
ghc 9.0.1-5
ghc-libs 9.0.1-5
ghostscript 9.55.0-3
giflib 5.2.1-2
git 2.34.1-1
glew 2.2.0-2
glib-networking 1:2.70.1-1
glib2 2.70.2-1
glib2-docs 2.70.2-1
glibc 2.33-5
glslang 11.7.1-2
glu 9.0.2-1
gmp 6.2.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.2-2
go 2:1.17.5-1
gobject-introspection-runtime 1.70.0-4
gpgme 1.16.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
graphviz 2.50.0-2
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-2
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gst-plugins-bad-libs 1.18.5-3
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gstreamer 1.18.5-1
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.4.1-1
gtk2 2.24.33-2
gtk3 1:3.24.30+90+g20be04f7ac-1
gts 0.7.6.121130-2
guile 2.2.7-2
gzip 1.11-1
harfbuzz 3.2.0-1
haskell-adjunctions 4.4-272
haskell-aeson 1.5.6.0-58
haskell-alsa-core 0.5.0.1-16
haskell-alsa-mixer 0.3.0-72
haskell-appar 0.1.8-12
haskell-asn1-encoding 0.9.6-138
haskell-asn1-parse 0.9.5-138
haskell-asn1-types 0.3.4-117
haskell-assoc 1.0.2-109
haskell-async 2.2.3-88
haskell-attoparsec 0.14.1-37
haskell-base-compat 0.11.2-6
haskell-base-compat-batteries 0.11.2-161
haskell-base-orphans 0.8.5-14
haskell-base64-bytestring 1.2.1.0-15
haskell-basement 0.0.12-3
haskell-bifunctors 5.5.11-34
haskell-blaze-builder 0.4.2.2-1
haskell-blaze-html 0.9.1.2-138
haskell-blaze-markup 0.8.2.8-44
haskell-byteable 0.1.1-24
haskell-byteorder 1.0.4-23
haskell-call-stack 0.4.0-23
haskell-case-insensitive 1.2.1.0-117
haskell-cereal 0.5.8.2-1
haskell-comonad 5.0.8-113
haskell-conduit 1.3.4.2-10
haskell-conduit-extra 1.3.5-180
haskell-connection 0.3.1-153
haskell-contravariant 1.5.5-2
haskell-cookie 0.4.5-11
haskell-cryptonite 0.29-31
haskell-data-default 0.7.1.1-177
haskell-data-default-class 0.1.2.0-23
haskell-data-default-instances-containers 0.0.1-35
haskell-data-default-instances-dlist 0.0.1-190
haskell-data-default-instances-old-locale 0.0.1-35
haskell-data-fix 0.3.2-16
haskell-dbus 1.2.21-80
haskell-digest 0.0.1.3-1
haskell-distributive 0.6.2.1-116
haskell-dlist 1.0-113
haskell-extensible-exceptions 0.1.1.4-35
haskell-free 5.1.7-41
haskell-hashable 1.3.4.0-4
haskell-hinotify 0.4.1-85
haskell-hourglass 0.2.12-160
haskell-http 4000.3.16-91
haskell-http-client 0.7.9-15
haskell-http-client-tls 0.3.5.3-463
haskell-http-conduit 2.3.8-100
haskell-http-types 0.12.3-193
haskell-indexed-traversable 0.1.2-1
